iter	Passed	Remaining
0	68	67952
1	73	36842
2	79	26496
3	86	21596
4	92	18477
5	98	16389
6	104	14864
7	110	13743
8	116	12832
9	122	12132
10	128	11538
11	134	11083
12	140	10700
13	146	10337
14	152	10029
15	158	9763
16	165	9586
17	171	9355
18	177	9179
19	184	9044
20	190	8887
21	195	8712
22	201	8574
23	207	8451
24	214	8346
25	220	8248
26	226	8155
27	232	8067
28	238	7981
29	244	7908
30	250	7827
31	256	7759
32	262	7683
33	268	7615
34	274	7559
35	279	7493
36	286	7448
37	292	7401
38	298	7355
39	304	7313
40	310	7265
41	316	7226
42	322	7185
43	328	7143
44	334	7102
45	340	7061
46	346	7023
47	352	6986
48	357	6946
49	364	6918
50	370	6885
51	376	6860
52	382	6840
53	388	6809
54	394	6783
55	400	6757
56	406	6729
57	412	6706
58	418	6674
59	424	6646
60	430	6620
61	436	6598
62	442	6576
63	447	6550
64	453	6529
65	460	6510
66	466	6491
67	471	6458
68	476	6435
69	483	6425
70	489	6399
71	495	6382
72	501	6366
73	507	6350
74	513	6328
75	519	6312
76	524	6292
77	531	6284
78	537	6267
79	543	6251
80	549	6233
81	555	6213
82	560	6192
83	566	6181
84	573	6177
85	579	6163
86	586	6149
87	591	6133
88	597	6118
89	604	6107
90	609	6092
91	616	6081
92	622	6071
93	628	6055
94	634	6045
95	641	6036
96	647	6026
97	653	6016
98	659	6001
99	666	5995
100	672	5982
101	677	5966
102	683	5954
103	689	5943
104	696	5932
105	702	5923
106	708	5912
107	713	5897
108	719	5882
109	725	5869
110	732	5862
111	738	5852
112	743	5837
113	749	5827
114	756	5821
115	762	5810
116	768	5800
117	774	5791
118	780	5777
119	786	5769
120	792	5757
121	798	5745
122	804	5734
123	810	5724
124	815	5711
125	822	5702
126	828	5694
127	833	5680
128	840	5672
129	845	5659
130	852	5652
131	858	5642
132	863	5630
133	869	5619
134	875	5612
135	881	5602
136	888	5595
137	894	5587
138	900	5575
139	906	5566
140	912	5557
141	917	5545
142	923	5535
143	929	5526
144	935	5516
145	941	5505
146	947	5497
147	953	5488
148	959	5480
149	965	5472
150	971	5462
151	978	5456
152	984	5448
153	990	5443
154	997	5437
155	1003	5429
156	1009	5421
157	1015	5411
158	1022	5406
159	1028	5399
160	1034	5391
161	1040	5381
162	1046	5371
163	1052	5362
164	1058	5354
165	1064	5349
166	1070	5341
167	1076	5331
168	1082	5324
169	1088	5316
170	1095	5309
171	1100	5298
172	1107	5292
173	1113	5286
174	1119	5278
175	1126	5272
176	1131	5262
177	1137	5254
178	1143	5246
179	1149	5238
180	1155	5229
181	1161	5220
182	1167	5212
183	1173	5202
184	1179	5194
185	1185	5186
186	1191	5178
187	1196	5169
188	1202	5162
189	1208	5153
190	1214	5144
191	1220	5138
192	1226	5130
193	1232	5122
194	1238	5113
195	1244	5106
196	1250	5098
197	1256	5090
198	1262	5082
199	1269	5076
200	1274	5067
201	1280	5060
202	1286	5050
203	1292	5043
204	1298	5035
205	1304	5028
206	1311	5022
207	1317	5015
208	1322	5007
209	1328	4997
210	1334	4989
211	1340	4982
212	1346	4973
213	1351	4965
